player,pos,team,rebounds,assists,steals,blocks,points
Reggie Jackson,PG,DET,114,270,35,5,752
LeBron James,SF,CLE,639,646,92,44,1954
Al Jefferson,C,IND,278,57,19,16,535
Richard Jefferson,SF,CLE,203,78,26,10,448
John Jenkins,SG,PHO,1,1,0,0,7
Brandon Jennings,PG,TOT,196,395,70,4,577
Jonas Jerebko,PF,BOS,272,71,25,17,299
Amir Johnson,PF,BOS,366,140,51,62,520
Brice Johnson,PF,LAC,3,1,2,1,4
James Johnson,PF,MIA,376,276,76,86,975
Joe Johnson,SF,UTA,243,144,36,18,715
Stanley Johnson,SF,DET,189,105,56,24,339
Tyler Johnson,PG,MIA,293,233,84,44,1002
Wesley Johnson,SF,LAC,181,23,29,30,186
Nikola Jokic,C,DEN,718,359,61,55,1221
Dahntay Jones,SF,CLE,2,1,0,0,9
Damian Jones,C,GSW,23,0,1,4,19
Derrick Jones,SF,PHO,79,12,14,13,168
James Jones,SF,CLE,37,14,6,10,132
Terrence Jones,PF,TOT,306,59,40,54,584
Tyus Jones,PG,MIN,67,156,48,5,209
DeAndre Jordan,C,LAC,1114,96,51,134,1029
Cory Joseph,PG,TOR,235,265,66,13,740
Frank Kaminsky,C,CHO,336,162,46,34,874
Enes Kanter,C,OKC,482,67,32,38,1033
Ryan Kelly,PF,ATL,18,8,4,5,25
Michael Kidd-Gilchrist,SF,CHO,565,114,81,77,743
Sean Kilpatrick,SG,BRK,280,157,45,6,919
Brandon Knight,SG,PHO,118,130,27,5,595
Kyle Korver,SG,TOT,186,110,34,21,678
Kosta Koufos,C,SAC,403,47,36,48,470
Mindaugas Kuzminskas,SF,NYK,126,69,29,11,425
Skal Labissiere,PF,SAC,162,27,16,13,289
Jeremy Lamb,SG,CHO,264,75,27,23,603
Nicolas Laprovittola,PG,SAS,10,28,4,1,59
Joffrey Lauvergne,PF-C,TOT,251,70,25,6,375
Zach LaVine,SG,MIN,160,139,41,10,889
Ty Lawson,PG,SAC,179,334,74,6,681
Jake Layman,SF,POR,24,11,9,3,78
Courtney Lee,SG,NYK,259,179,81,24,835
David Lee,PF,SAS,441,124,31,40,576
Alex Len,C,PHO,510,44,38,98,613
Kawhi Leonard,SF,SAS,430,260,133,55,1888
Meyers Leonard,PF,POR,237,71,13,28,401
Jon Leuer,PF,DET,402,111,31,26,767
Caris LeVert,SF,BRK,188,110,49,8,468
DeAndre Liggins,SG,TOT,108,54,47,14,152
Damian Lillard,PG,POR,368,440,68,20,2024
Jeremy Lin,PG,BRK,135,184,42,14,523
Shaun Livingston,PG,GSW,151,139,38,20,389
Shawn Long,C,PHI,85,13,9,9,148
Kevon Looney,C,GSW,124,29,15,17,135
Brook Lopez,C,BRK,403,176,38,124,1539
Robin Lopez,C,CHI,520,80,18,117,839
Kevin Love,PF,CLE,666,116,53,21,1142
Kyle Lowry,PG,TOR,286,417,88,19,1344
John Lucas III,PG,MIN,0,1,2,0,2
Timothe Luwawu-Cabarrot,SF,PHI,149,75,32,10,445
Trey Lyles,PF,UTA,235,69,26,20,440
