Player,Pos,Tm,TRB,AST,STL,BLK,PTS
Kris Humphries,PF,ATL,206,29,15,21,257
Lucas Nogueira,C,TOR,244,42,52,89,253
Kyle Anderson,SG,SAS,208,91,51,26,246
Thomas Robinson,PF,LAL,223,31,26,9,241
Joakim Noah,C,NYK,403,103,30,37,232
Kevin Seraphin,PF,IND,142,23,7,20,232
Pascal Siakam,PF,TOR,185,17,26,45,229
Tyler Ennis,PG,TOT,45,86,25,2,228
Thon Maker,C,MIL,114,23,10,26,226
Quincy Acy,PF,TOT,115,18,14,15,222
Roy Hibbert,C,TOT,152,21,8,46,221
Shabazz Napier,PG,POR,61,67,32,2,218
Ron Baker,SG,NYK,98,107,34,8,215
Salah Mejri,C,DAL,308,14,32,61,213
Chandler Parsons,SF,MEM,84,55,20,5,210
Tyus Jones,PG,MIN,67,156,48,5,209
Alexis Ajinca,C,NOP,177,12,20,22,207
K.J. McDaniels,SF,TOT,82,13,19,18,206
Ed Davis,PF,POR,244,26,15,22,200
Brandon Rush,SG,MIN,99,45,22,23,197
Boban Marjanovic,C,DET,130,9,6,12,191
Omri Casspi,SF,TOT,112,37,23,3,186
Wesley Johnson,SF,LAC,181,23,29,30,186
Luis Scola,PF,BRK,139,37,14,4,184
Semaj Christon,PG,OKC,87,130,28,7,183
Isaiah Canaan,SG,CHI,50,37,22,1,181
Lavoy Allen,PF,IND,219,57,18,24,177
Ian Mahinmi,C,WAS,150,19,33,24,173
Derrick Jones,SF,PHO,79,12,14,13,168
Kay Felder,PG,CLE,41,58,18,7,166
Jarell Martin,PF,MEM,162,8,17,9,165
Jakob Poeltl,C,TOR,165,12,17,20,165
Jordan McRae,SG,CLE,41,19,8,6,161
Cameron Payne,PG,TOT,48,55,14,4,160
Tomas Satoransky,SG,WAS,83,92,26,6,154
DeAndre Liggins,SG,TOT,108,54,47,14,152
Nicolas Brussino,SF,DAL,95,47,17,8,150
Donatas Motiejunas,PF,NOP,101,32,18,11,150
Shawn Long,C,PHI,85,13,9,9,148
James Michael McAdoo,PF,GSW,91,18,18,29,147
Dragan Bender,PF,PHO,103,23,10,22,146
Brian Roberts,PG,CHO,39,52,9,1,142
Reggie Bullock,SF,DET,64,29,18,3,141
Jose Calderon,PG,TOT,74,88,11,1,141
Chasson Randle,PG,TOT,32,34,9,2,137
Kevon Looney,C,GSW,124,29,15,17,135
James Jones,SF,CLE,37,14,6,10,132
Dejounte Murray,PG,SAS,42,48,8,6,130
Darrun Hilliard,SG,DET,33,33,11,2,127
Georgios Papagiannis,C,SAC,86,20,3,17,124
David Nwaba,SG,LAL,63,14,13,7,120
Toney Douglas,PG,MEM,61,56,18,5,117
Anthony Bennett,PF,BRK,78,12,5,3,115
Miles Plumlee,C,TOT,95,21,18,13,113
Archie Goodwin,SG,TOT,28,24,4,5,110
Josh McRoberts,PF,MIA,74,50,10,4,107
Wade Baldwin,PG,MEM,46,61,18,7,106
Jonathan Gibson,PG,DAL,22,26,8,0,106
Cole Aldrich,C,MIN,158,25,25,23,105
DeAndre' Bembry,SF,ATL,59,28,8,5,101
Raul Neto,PG,UTA,30,34,21,5,100
Andrew Nicholson,PF,TOT,61,10,16,6,100
Pat Connaughton,SG,POR,52,28,6,2,98
Maurice Ndour,PF,NYK,64,8,15,8,98
Bryn Forbes,SG,SAS,23,23,1,0,94
Sheldon Mac,SG,WAS,34,15,8,2,90
Kyle Singler,SF,OKC,48,9,7,5,88
Cheick Diallo,PF,NOP,73,4,4,7,87
Alan Anderson,SF,LAC,24,11,3,0,86
Omer Asik,C,NOP,163,15,5,10,85
Malik Beasley,SG,DEN,17,11,7,0,83
Damjan Rudez,SF,ORL,25,20,12,1,82
Paul Pierce,SF,LAC,48,10,4,5,81
Andrew Bogut,C,TOT,218,49,13,25,79
Quinn Cook,PG,TOT,7,26,4,0,79
Malachi Richardson,SG,SAC,23,11,5,1,79
Jake Layman,SF,POR,24,11,9,3,78
Wayne Selden,SG,TOT,16,13,6,1,71
Alex Poythress,PF,PHI,29,5,3,2,64
Marcelo Huertas,PG,LAL,24,52,10,2,63
Adreian Payne,PF,MIN,33,7,8,7,63
Bobby Brown,PG,HOU,6,14,1,0,62
Henry Ellenson,PF,DET,41,7,1,1,60
Rakeem Christmas,PF,IND,56,4,3,6,59
Nicolas Laprovittola,PG,SAS,10,28,4,1,59
Deyonta Davis,C,MEM,60,2,3,17,58
Treveon Graham,SG,CHO,22,6,6,1,57
A.J. Hammons,C,DAL,36,4,1,13,48
Mike Scott,PF,ATL,37,17,4,3,45
Anthony Brown,SF,TOT,33,8,5,1,43
Norris Cole,PG,OKC,11,14,8,0,43
Marshall Plumlee,C,NYK,51,10,4,4,40
Tiago Splitter,C,PHI,22,4,1,1,39
Jordan Mickey,PF,BOS,34,7,3,6,38
